lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step,seed
1.0,4.23,0.6673523361739642,1.5855927929225264,0.2331022778802434,0.0196520518045872,0.0778,,,3600.0,123
1.0,final,0.6788128122245077,,,,,0.6623567440493682,1.5533982357346867,2400.0,123
0.5,0.23,0.6356156332647663,1.564925266405151,1.8578333854675293,0.1460025700554251,0.0378,,,200.0,123
0.5,0.47,0.6538348516015281,1.4727574177009723,1.602808027267456,0.1278789262846112,0.0384,,,400.0,123
0.5,0.7,0.6605935938877461,1.4320697758150844,1.5752837774157524,0.1274558618851006,0.0389,,,600.0,123
0.5,0.94,0.6623567440493682,1.3811616587386637,1.5339484083652497,0.1270535108819604,0.0398,,,800.0,123
0.5,1.17,0.6644137525712607,1.4582567816442018,1.1124656777083874,0.0931796086300164,0.0402,,,1000.0,123
0.5,1.41,0.6664707610931531,1.4222588686077096,1.0061235031485558,0.0852767293713986,0.0407,,,1200.0,123
0.5,1.64,0.6720540699382898,1.396325869872715,1.0138462399691344,0.0869662385433912,0.0411,,,1400.0,123
0.5,1.88,0.677343520423156,1.386597483483196,1.0058654943108558,0.085309770675376,0.0407,,,1600.0,123
0.5,2.11,0.6749926535409932,1.4496214303100177,0.8185516011714935,0.0704721014481037,0.0413,,,1800.0,123
0.5,2.35,0.6720540699382898,1.4684049795033334,0.6123507084324956,0.0539311332255601,0.0422,,,2000.0,123
0.5,2.58,0.6658830443726124,1.4837567671375909,0.632478181347251,0.0553652537986636,0.0419,,,2200.0,123
0.5,2.82,0.6691154863355863,1.4798985906043824,0.6532540136575699,0.0566097350046038,0.0415,,,2400.0,123
0.5,3.05,0.6691154863355863,1.5029510059953612,0.6173775745555758,0.0537977077625691,0.0418,,,2600.0,123
0.5,3.29,0.6670584778136938,1.5553907890583254,0.3822139681503176,0.0333274717256426,0.0418,,,2800.0,123
0.5,final,0.677343520423156,,,,,0.6576550102850426,1.473921839328433,1600.0,123
0.1,0.23,0.6391419335880105,1.5324670033983157,1.8904605409502984,0.1465124385431409,0.0077,,,200.0,123
0.1,0.47,0.6491331178372025,1.4710190996961177,1.6285701295733452,0.1324702764675021,0.0081,,,400.0,123
0.1,0.7,0.6497208345577432,1.443674054525545,1.5656809723377227,0.1273674890398979,0.0081,,,600.0,123
0.1,0.94,0.6629444607699089,1.3949788048132146,1.4631726041436195,0.1217861681431531,0.0083,,,800.0,123
0.1,1.17,0.6691154863355863,1.4035063435882111,1.1759089800715443,0.0978559522517025,0.0083,,,1000.0,123
0.1,1.41,0.669703203056127,1.4230366459741963,0.9621507978439332,0.0832453280687332,0.0086,,,1200.0,123
0.1,1.64,0.6694093446958566,1.4003033082239285,1.0127188286185265,0.086712791249156,0.0085,,,1400.0,123
0.1,1.88,0.6717602115780194,1.4126999843061023,1.0217943434417247,0.0885479930415749,0.0086,,,1600.0,123
0.1,2.11,0.6670584778136938,1.4740699905176355,0.8170492877066136,0.0690161777287721,0.0084,,,1800.0,123
0.1,2.35,0.670584778136938,1.4767781298475129,0.594625126644969,0.052008775928989,0.0087,,,2000.0,123
0.1,2.58,0.6708786364972084,1.4593956251723117,0.6464768968522548,0.0563457394950091,0.0086,,,2200.0,123
0.1,2.82,0.6729356450191007,1.4608571214112611,0.6685676024854184,0.0582715341355651,0.0086,,,2400.0,123
